# Gross electricity production by detailed fuel, TWh (converted from GWh).
# Source: Eurostat, nrg_bal_peh "Production of electricity and derived heat by type of fuel",
#   indicator GEP (gross electricity production). (c) European Union; reuse permitted with attribution.
#   https://ec.europa.eu/eurostat/databrowser/view/nrg_bal_peh
# Trimmed by data/stage-energy-sources.mjs.
entity,year,fuel,subfuel,twh
czechia,2009,coal,coal-lignite,40.362
czechia,2009,coal,coal-subbit,0
czechia,2009,otherren,or-geo,0
czechia,2009,otherren,or-tidal,0
czechia,2010,bio,bio-solid,1.4922
czechia,2010,coal,coal-anthr,0
czechia,2010,coal,coal-bitum,6.052
czechia,2010,coal,coal-coking,0
czechia,2010,coal,coal-lignite,40.83
czechia,2010,coal,coal-subbit,0
czechia,2010,otherren,or-geo,0
czechia,2010,otherren,or-tidal,0
czechia,2011,bio,bio-solid,1.6846
czechia,2011,coal,coal-anthr,0
czechia,2011,coal,coal-bitum,5.694
czechia,2011,coal,coal-coking,0
czechia,2011,coal,coal-lignite,40.991
czechia,2011,coal,coal-subbit,0
czechia,2011,otherren,or-geo,0
czechia,2011,otherren,or-tidal,0
czechia,2012,bio,bio-solid,1.8173
czechia,2012,coal,coal-anthr,0
czechia,2012,coal,coal-bitum,4.896
czechia,2012,coal,coal-coking,0
czechia,2012,coal,coal-lignite,39.08
czechia,2012,coal,coal-subbit,0
czechia,2012,otherren,or-geo,0
czechia,2012,otherren,or-tidal,0
czechia,2013,bio,bio-solid,1.6833
czechia,2013,coal,coal-anthr,0
czechia,2013,coal,coal-bitum,5.266
czechia,2013,coal,coal-coking,0
czechia,2013,coal,coal-lignite,35.846
czechia,2013,coal,coal-subbit,0
czechia,2013,otherren,or-geo,0
czechia,2013,otherren,or-tidal,0
czechia,2014,bio,bio-solid,1.9922
czechia,2014,coal,coal-anthr,0
czechia,2014,coal,coal-bitum,5.12
czechia,2014,coal,coal-coking,0
czechia,2014,coal,coal-lignite,35.599
czechia,2014,coal,coal-subbit,0
czechia,2014,otherren,or-geo,0
czechia,2014,otherren,or-tidal,0
czechia,2015,bio,bio-solid,2.0915
czechia,2015,coal,coal-anthr,0
czechia,2015,coal,coal-bitum,5.653
czechia,2015,coal,coal-coking,0
czechia,2015,coal,coal-lignite,35.474
czechia,2015,coal,coal-subbit,0
czechia,2015,otherren,or-geo,0
czechia,2015,otherren,or-tidal,0
czechia,2016,bio,bio-solid,2.0677
czechia,2016,coal,coal-anthr,0
czechia,2016,coal,coal-bitum,5.707
czechia,2016,coal,coal-coking,0
czechia,2016,coal,coal-lignite,36.25
czechia,2016,coal,coal-subbit,0
czechia,2016,otherren,or-geo,0
czechia,2016,otherren,or-tidal,0
czechia,2017,bio,bio-solid,2.2134
czechia,2017,coal,coal-anthr,0
czechia,2017,coal,coal-bitum,4.4633
czechia,2017,coal,coal-coking,0
czechia,2017,coal,coal-lignite,36.9721
czechia,2017,coal,coal-subbit,0
czechia,2017,otherren,or-geo,0
czechia,2017,otherren,or-tidal,0
czechia,2018,bio,bio-solid,2.1209
czechia,2018,coal,coal-anthr,0
czechia,2018,coal,coal-bitum,3.4705
czechia,2018,coal,coal-coking,0
czechia,2018,coal,coal-lignite,37.72
czechia,2018,coal,coal-subbit,0
czechia,2018,otherren,or-geo,0
czechia,2018,otherren,or-tidal,0
czechia,2019,bio,bio-solid,2.3987
czechia,2019,coal,coal-anthr,0
czechia,2019,coal,coal-bitum,2.1488
czechia,2019,coal,coal-coking,0
czechia,2019,coal,coal-lignite,35.172
czechia,2019,coal,coal-subbit,0
czechia,2019,otherren,or-geo,0
czechia,2019,otherren,or-tidal,0
czechia,2020,bio,bio-solid,2.499
czechia,2020,coal,coal-anthr,0
czechia,2020,coal,coal-bitum,1.9142
czechia,2020,coal,coal-coking,0
czechia,2020,coal,coal-lignite,29.0736
czechia,2020,coal,coal-subbit,0
czechia,2020,otherren,or-geo,0
czechia,2020,otherren,or-tidal,0
czechia,2021,bio,bio-solid,2.6646
czechia,2021,coal,coal-anthr,0
czechia,2021,coal,coal-bitum,2.7617
czechia,2021,coal,coal-coking,0
czechia,2021,coal,coal-lignite,31.4071
czechia,2021,coal,coal-subbit,0
czechia,2021,otherren,or-geo,0
czechia,2021,otherren,or-tidal,0
czechia,2022,bio,bio-solid,2.6594
czechia,2022,coal,coal-anthr,0
czechia,2022,coal,coal-bitum,2.4258
czechia,2022,coal,coal-coking,0
czechia,2022,coal,coal-lignite,34.4484
czechia,2022,coal,coal-subbit,0
czechia,2022,otherren,or-geo,0
czechia,2022,otherren,or-tidal,0
czechia,2023,bio,bio-solid,2.4385
czechia,2023,coal,coal-anthr,0
czechia,2023,coal,coal-bitum,1.9185
czechia,2023,coal,coal-coking,0
czechia,2023,coal,coal-lignite,28.0108
czechia,2023,coal,coal-subbit,0
czechia,2023,otherren,or-geo,0
czechia,2023,otherren,or-tidal,0
czechia,2024,bio,bio-solid,2.6541
czechia,2024,coal,coal-anthr,0
czechia,2024,coal,coal-bitum,1.3558
czechia,2024,coal,coal-coking,0
czechia,2024,coal,coal-lignite,25.1615
czechia,2024,coal,coal-subbit,0
czechia,2024,otherren,or-geo,0
czechia,2024,otherren,or-tidal,0
eu,1990,bio,bio-solid,10.9253
eu,1990,coal,coal-anthr,0
eu,1990,coal,coal-bitum,394.39
eu,1990,coal,coal-coking,52.696
eu,1990,coal,coal-lignite,337.807
eu,1990,coal,coal-subbit,7.679
eu,1990,otherren,or-geo,3.226
eu,1990,otherren,or-tidal,0.5027
eu,1991,bio,bio-solid,11.2285
eu,1991,coal,coal-anthr,0
eu,1991,coal,coal-bitum,406.651
eu,1991,coal,coal-coking,54.763
eu,1991,coal,coal-lignite,321.401
eu,1991,coal,coal-subbit,10.916
eu,1991,otherren,or-geo,3.187
eu,1991,otherren,or-tidal,0.5173
eu,1992,bio,bio-solid,11.7556
eu,1992,coal,coal-anthr,0
eu,1992,coal,coal-bitum,379.968
eu,1992,coal,coal-coking,49.124
eu,1992,coal,coal-lignite,326.17
eu,1992,coal,coal-subbit,10.195
eu,1992,otherren,or-geo,3.464
eu,1992,otherren,or-tidal,0.5162
eu,1993,bio,bio-solid,12.7578
eu,1993,coal,coal-anthr,0
eu,1993,coal,coal-bitum,357.2
eu,1993,coal,coal-coking,55.444
eu,1993,coal,coal-lignite,324.983
eu,1993,coal,coal-subbit,10.248
eu,1993,otherren,or-geo,3.671
eu,1993,otherren,or-tidal,0.4942
eu,1994,bio,bio-solid,13.4822
eu,1994,coal,coal-anthr,0
eu,1994,coal,coal-bitum,367.905
eu,1994,coal,coal-coking,59.097
eu,1994,coal,coal-lignite,321.986
eu,1994,coal,coal-subbit,10.328
eu,1994,otherren,or-geo,3.45
eu,1994,otherren,or-tidal,0.5014
eu,1995,bio,bio-solid,14.9519
eu,1995,coal,coal-anthr,0
eu,1995,coal,coal-bitum,384.863
eu,1995,coal,coal-coking,59.159
eu,1995,coal,coal-lignite,320.479
eu,1995,coal,coal-subbit,10.64
eu,1995,otherren,or-geo,3.478
eu,1995,otherren,or-tidal,0.5074
eu,1996,bio,bio-solid,13.8593
eu,1996,coal,coal-anthr,0
eu,1996,coal,coal-bitum,408.1665
eu,1996,coal,coal-coking,50.57
eu,1996,coal,coal-lignite,323.794
eu,1996,coal,coal-subbit,9.598
eu,1996,otherren,or-geo,3.811
eu,1996,otherren,or-tidal,0.4907
eu,1997,bio,bio-solid,17.2306
eu,1997,coal,coal-anthr,0
eu,1997,coal,coal-bitum,384.395
eu,1997,coal,coal-coking,47.858
eu,1997,coal,coal-lignite,323.604
eu,1997,coal,coal-subbit,8.418
eu,1997,otherren,or-geo,3.956
eu,1997,otherren,or-tidal,0.5095
eu,1998,bio,bio-solid,19.2538
eu,1998,coal,coal-anthr,0
eu,1998,coal,coal-bitum,398.17
eu,1998,coal,coal-coking,46.376
eu,1998,coal,coal-lignite,321.965
eu,1998,coal,coal-subbit,6.332
eu,1998,otherren,or-geo,4.272
eu,1998,otherren,or-tidal,0.5217
eu,1999,bio,bio-solid,18.8057
eu,1999,coal,coal-anthr,0
eu,1999,coal,coal-bitum,388.208
eu,1999,coal,coal-coking,45.327
eu,1999,coal,coal-lignite,318.413
eu,1999,coal,coal-subbit,5.849
eu,1999,otherren,or-geo,4.483
eu,1999,otherren,or-tidal,0.515
eu,2000,bio,bio-solid,19.767
eu,2000,coal,coal-anthr,0
eu,2000,coal,coal-bitum,411.018
eu,2000,coal,coal-coking,37.874
eu,2000,coal,coal-lignite,344.081
eu,2000,coal,coal-subbit,6.38
eu,2000,otherren,or-geo,4.785
eu,2000,otherren,or-tidal,0.5073
eu,2001,bio,bio-solid,20.1637
eu,2001,coal,coal-anthr,0
eu,2001,coal,coal-bitum,402.964
eu,2001,coal,coal-coking,35.142
eu,2001,coal,coal-lignite,348.959
eu,2001,coal,coal-subbit,4.818
eu,2001,otherren,or-geo,4.612
eu,2001,otherren,or-tidal,0.4849
eu,2002,bio,bio-solid,23.4744
eu,2002,coal,coal-anthr,0
eu,2002,coal,coal-bitum,416.136
eu,2002,coal,coal-coking,37.02
eu,2002,coal,coal-lignite,354.183
eu,2002,coal,coal-subbit,5.934
eu,2002,otherren,or-geo,4.761
eu,2002,otherren,or-tidal,0.4944
eu,2003,bio,bio-solid,28.0331
eu,2003,coal,coal-anthr,7.249
eu,2003,coal,coal-bitum,440.687
eu,2003,coal,coal-coking,40.232
eu,2003,coal,coal-lignite,353.416
eu,2003,coal,coal-subbit,5.061
eu,2003,otherren,or-geo,5.434
eu,2003,otherren,or-tidal,0.4904
eu,2004,bio,bio-solid,36.2503
eu,2004,coal,coal-anthr,19.018
eu,2004,coal,coal-bitum,417.58
eu,2004,coal,coal-coking,41.321
eu,2004,coal,coal-lignite,349.221
eu,2004,coal,coal-subbit,6.155
eu,2004,otherren,or-geo,5.5235
eu,2004,otherren,or-tidal,0.4702
eu,2005,bio,bio-solid,40.5835
eu,2005,coal,coal-anthr,18.184
eu,2005,coal,coal-bitum,403.7186
eu,2005,coal,coal-coking,37.23
eu,2005,coal,coal-lignite,341.1626
eu,2005,coal,coal-subbit,5.771
eu,2005,otherren,or-geo,5.3977
eu,2005,otherren,or-tidal,0.4809
eu,2006,bio,bio-solid,45.163
eu,2006,coal,coal-anthr,15.3892
eu,2006,coal,coal-bitum,423.3638
eu,2006,coal,coal-coking,34.552
eu,2006,coal,coal-lignite,335.0901
eu,2006,coal,coal-subbit,5.262
eu,2006,otherren,or-geo,5.6156
eu,2006,otherren,or-tidal,0.4643
eu,2007,bio,bio-solid,47.667
eu,2007,coal,coal-anthr,18.4952
eu,2007,coal,coal-bitum,420.7072
eu,2007,coal,coal-coking,37.871
eu,2007,coal,coal-lignite,341.578
eu,2007,coal,coal-subbit,6.64
eu,2007,otherren,or-geo,5.7725
eu,2007,otherren,or-tidal,0.4653
eu,2008,bio,bio-solid,53.1788
eu,2008,coal,coal-anthr,16.686
eu,2008,coal,coal-bitum,369.8681
eu,2008,coal,coal-coking,29.654
eu,2008,coal,coal-lignite,333.265
eu,2008,coal,coal-subbit,4.227
eu,2008,otherren,or-geo,5.7316
eu,2008,otherren,or-tidal,0.4651
eu,2009,bio,bio-solid,57.3466
eu,2009,coal,coal-anthr,12.716
eu,2009,coal,coal-bitum,344.7448
eu,2009,coal,coal-coking,20.95
eu,2009,coal,coal-lignite,318.172
eu,2009,coal,coal-subbit,4.263
eu,2009,otherren,or-geo,5.5463
eu,2009,otherren,or-tidal,0.4482
eu,2010,bio,bio-solid,64.982
eu,2010,coal,coal-anthr,10.494
eu,2010,coal,coal-bitum,355.2001
eu,2010,coal,coal-coking,16.232
eu,2010,coal,coal-lignite,313.437
