# Electricity generation by source, TWh.
# Source: Our World in Data, "Electricity production by source" (Ember + Energy Institute
#   Statistical Review of World Energy + historical estimates). Licensed CC BY 4.0.
#   https://ourworldindata.org/grapher/electricity-production-by-source
# Trimmed to the entities in data/energy-sources.mjs by data/stage-energy-sources.mjs.
entity,year,coal,oil,gas,nuclear,hydro,wind,solar,bio,otherren
brazil,2005,10.68,12.54,18.81,9.85,337.46,0.09,0,13.64,0
brazil,2006,10.47,13.08,18.26,13.75,348.8,0.24,0,14.85,0
brazil,2007,10.08,14.48,15.5,12.35,374.02,0.66,0,18.06,0
brazil,2008,11.96,17.94,28.78,13.97,369.56,1.18,0,19.79,0
brazil,2009,9.97,14.8,13.33,12.96,390.99,1.24,0,22.88,0
brazil,2010,11.29,16.1,36.48,14.52,403.29,2.18,0,31.94,0
brazil,2011,12.6,14.74,25.1,15.66,428.33,2.7,0,32.63,0
brazil,2012,14.47,19.07,46.76,16.04,415.34,5.05,0,35.77,0
brazil,2013,21.97,25.87,69,15.45,390.99,6.58,0,40.97,0
brazil,2014,26.9,34.45,81.07,15.38,373.44,12.21,0.02,47.08,0
brazil,2015,26.98,28.71,79.49,14.73,359.74,21.63,0.06,49.88,0
brazil,2016,25.67,15.06,56.48,15.86,380.91,33.49,0.09,51.33,0
brazil,2017,22.85,18.12,65.59,15.74,370.91,42.37,0.83,52.91,0
brazil,2018,20.8,15.01,54.62,15.67,388.97,48.48,3.46,54.38,0
brazil,2019,21.68,14.12,65.96,16.13,397.88,55.99,6.65,54.92,0
brazil,2020,17.75,14.56,59.48,14.05,396.38,57.05,10.75,58.74,0
brazil,2021,24.24,22.63,86.96,14.7,362.82,72.29,16.75,56.01,0
brazil,2022,14.4,12.2,42.11,14.56,427.11,81.63,30.13,55.02,0
brazil,2023,13.31,11.53,38.59,14.5,426,95.8,50.63,57.76,0
brazil,2024,16.21,13.71,48.76,15.78,413.21,108.49,71.32,58.24,0
brazil,2025,17.19,12.65,54.85,15.87,388.63,117.58,88.64,55.12,0
canada,1965,,,,0.128,118.088,,,,
canada,1966,,,,0.172,131,,,,
canada,1967,,,,0.153,133.924,,,,
canada,1968,,,,0.918,136.2,,,,
canada,1969,,,,0.529,150.638,,,,
canada,1970,,,,1.037,158.137,,,,
canada,1971,,,,4.267,162.461,,,,
canada,1972,,,,7.211,181.639,,,,
canada,1973,,,,15.254,194.654,,,,
canada,1974,,,,14.696,210.667,,,,
canada,1975,,,,12.57,202.47,,,,
canada,1976,,,,17.416,212.689,,,,
canada,1977,,,,26.342,220.147,,,,
canada,1978,,,,31.202,235.254,,,,
canada,1979,,,,35.271,244.121,,,,
canada,1980,,,,38.032,251.148,,,,
canada,1981,,,,40.067,266.015,,,,
canada,1982,,,,38.337,257.795,,,,
canada,1983,,,,48.61,265.952,,,,
canada,1984,,,,52.21,286.123,,,,
canada,1985,79.445,6.777,6.808,60.521,303.645,0.001,,,
canada,1986,71.627,6.166,6.886,71.267,310.635,0.001,,,
canada,1987,84.238,10.061,6.159,77.261,316.206,0.001,,,
canada,1988,91.758,11.842,9.432,82.867,307.435,0.001,,,
canada,1989,91.737,18.174,14.835,79.3168,290.4497,0.001,,,
canada,1990,82.22,16.468,9.654,72.46,295.6833,0.0019,0,,
canada,1991,88.485,14.135,8.622,84.3389,307.276,0.0019,0,,
canada,1992,90.03,15.594,13.122,80.0221,315.1746,0.059,0.0021,,
canada,1993,82.384,12.008,15.299,93.2842,322.2139,0.059,0.0021,,
canada,1994,86.651,10.068,15.437,107.0842,327.8556,0.059,0.0021,,
canada,1995,91.604,6.3034,19.9755,97.1642,334.0597,0.059,0.0038,,
canada,1996,89.6211,7.4224,18.6215,92.1221,354.5921,0.062,0.0059,,
canada,1997,96.9259,12.0247,22.8263,81.9547,348.6796,0.062,0.0069,,
canada,1998,105.9937,16.8581,26.4238,70.9926,330.8699,0.062,0.0101,,
canada,1999,106.1865,14.8196,27.8746,72.98,345.0008,0.162,0.0133,,
canada,2000,116.23,13.51,35.83,72.29,356.76,0.26,0.02,8.92,0
canada,2001,111.69,16.08,42.29,76.16,331.52,0.33,0.02,9.67,0
canada,2002,110.7,15.51,38.83,75,349.27,0.41,0.02,10.05,0
canada,2003,109.56,19.34,38.73,74.37,336.14,0.69,0.02,9.42,0
canada,2004,99.9,19.25,40.44,89.76,338.4,0.94,0.01,9.8,0
canada,2005,102.86,16.65,36.88,91.4,361.96,1.57,0.02,9.16,0
canada,2006,95.92,10.49,40.42,97.28,352.89,2.47,0.02,8.94,0
canada,2007,106.47,12.23,43.01,92.83,367.62,3.01,0.03,8.99,0
canada,2008,100.8,10.03,39.63,95.35,377.49,3.79,0.04,7.98,0
canada,2009,84.72,10.04,45.27,89.46,368.69,6.64,0.11,8.94,0
canada,2010,86.45,7.1,52.78,90.03,351.39,8.72,0.26,10.3,0
canada,2011,79.9,6.21,62.53,92.94,375.72,10.19,0.57,10.21,0
canada,2012,69.35,6.38,63.24,94.2,380.27,11.31,0.88,10.91,0
canada,2013,70.54,6.66,60.29,102.72,391.79,11.15,1.5,11.04,0
canada,2014,69.38,4.76,65.05,106.54,382.5,12.82,2.12,9.8,0
canada,2015,64.96,5,67.98,101.1,382.19,26.97,2.89,9.99,0
canada,2016,65.02,4.84,65.82,100.72,385.43,30.93,3.01,11.36,0
canada,2017,62.81,3.92,61.46,100.6,394.59,31.51,3.31,11.15,0
canada,2018,53.02,4.02,70.74,100.03,385.89,33.47,3.49,10.54,0
canada,2019,50.14,3.42,72.94,100.49,381.77,32.88,3.75,10.31,0
canada,2020,39.04,6.96,75.59,97.51,386.55,35.76,4.07,10.41,0
canada,2021,34.83,6.6,83.6,91.98,382.43,37.3,5.11,10.55,0
canada,2022,26.49,8.05,90.44,86.63,397.73,39.48,5.74,9.52,0
canada,2023,23.74,6.89,102.88,88.43,360.74,40.51,8.4,9.8,0
canada,2024,25.14,7.3,109.6,85.47,343.2,46.83,9.42,9.83,0
canada,2025,26.68,7.63,115.9,85.32,344.74,51.48,10.17,10.52,0
china,1965,,,,0,22.097,,,,
china,1966,,,,0,22.4859,,,,
china,1967,,,,0,19.3835,,,,
china,1968,,,,0,22.8704,,,,
china,1969,,,,0,23.2593,,,,
china,1970,,,,0,24.0371,,,,
china,1971,,,,0,29.0752,0,0,,
china,1972,,,,0,32.951,0,0,,
china,1973,,,,0,36.8269,0,0,,
china,1974,,,,0,41.6749,0,0,,
china,1975,,,,0,43.6106,0,0,,
china,1976,,,,0,44.194,0,0,,
china,1977,,,,0,46.1341,0,0,,
china,1978,,,,0,43.2261,0,0,,
china,1979,,,,0,48.5559,0,0,,
china,1980,,,,0,58.2212,0,0,,
china,1981,,,,0,65.5132,0,0,,
china,1982,,,,0,74.4139,0,0,,
china,1983,,,,0,86.4169,0,0,,
china,1984,,,,0,86.8147,0,0,,
china,1985,260.6454,56.685,0.972,0,92.3876,0,0,,
china,1986,299.6103,53.678,1.693,0,94.5486,0,0,,
china,1987,339.8617,54.644,2.737,0,100.0243,0,0,,
china,1988,373.653,60.336,2.053,0,109.168,0,0,,
china,1989,405.06,57.632,3.709,0,118.409,0,0,,
china,1990,441.251,50.366,2.771,0,126.744,0.002,0.002,,
china,1991,498.434,51.923,2.429,0,124.689,0.0091,0.002,,
china,1992,567.3296,53.21,2.467,0,130.6861,0.1313,0.003,,
china,1993,589.2284,65.454,3.124,1.604,151.8462,0.2121,0.004,,
china,1994,693.4084,48.199,3.154,14.756,167.429,0.3838,0.005,,
china,1995,741.8859,55.094,2.999,12.833,190.58,0.6162,0.007,,
china,1996,824.1841,50.351,2.828,14.338,187.97,0.0939,0.009,,
china,1997,867.0265,47.115,8.077,14.418,195.98,0.198,0.011,,
china,1998,891.6741,53.392,6.092,14.1,198.89,0.3556,0.014,,
china,1999,969.6844,50.261,4.813,14.949,196.58,0.4737,0.017,,
china,2000,1060.26,47.27,5.77,16.74,222.41,0.59,0.02,2.54,0
china,2001,1129.14,48.52,4.93,17.47,277.43,0.72,0.03,2.55,0
china,2002,1282.57,50.71,4.19,25.13,287.97,0.84,0.05,2.55,0
china,2003,1519.97,54.83,5.16,43.34,283.68,1,0.06,2.54,0
china,2004,1722.42,65.53,7.46,50.47,353.54,1.28,0.08,2.53,0
china,2005,1980.15,50.51,12.14,53.09,397.02,1.95,0.08,5.32,0
china,2006,2302.42,37.92,23.82,54.84,435.79,3.71,0.09,7.13,0
china,2007,2656.7,28.09,33.91,62.13,485.26,5.48,0.11,9.86,0
china,2008,2708.91,18.81,34.57,68.39,636.96,13.1,0.15,14.87,0
china,2009,2911.52,12.12,56.56,70.05,615.64,27.61,0.28,20.86,0
china,2010,3233.6,34.71,77.73,74.74,711.38,49.4,0.7,24.9,0
china,2011,3690.87,33.8,108.77,87.2,688.04,74.1,2.61,27.63,0
china,2012,3748.19,31.22,110.25,98.32,862.79,103.05,3.59,30.13,0
china,2013,4077.37,33,116.39,111.5,909.61,138.26,8.37,37.13,0
china,2014,4203.06,35.66,133.28,133.22,1059.69,159.76,23.51,46.27,0
china,2015,4046.17,36.46,166.91,171.38,1114.52,185.59,39.48,54.07,0
china,2016,4156.35,52.56,188.28,213.18,1153.27,240.86,66.53,62.13,0
china,2017,4430.03,56.05,203.2,248.1,1165.06,304.6,117.8,79.6,0
china,2018,4763.85,56.4,215.5,295,1198.89,365.8,176.9,93.8,0
china,2019,4855.12,52.47,232.5,348.7,1272.54,405.3,224,112.8,0
china,2020,4921.89,53.47,252.5,366.2,1321.71,466.5,261.1,135.7,0
china,2021,5333.8,57.06,287.1,407.5,1300,655.8,327,166,0
china,2022,5414.72,69.93,275.62,417.78,1298.12,762.67,427.27,182.6,0
china,2023,5752.74,76.97,297.8,434.72,1226,885.87,584.15,198.2,0
china,2024,5827.6,88.88,320.72,450.85,1354.25,997.04,839.04,208.5,0
china,2025,5751.56,89.55,334.17,487.61,1397.06,1135.44,1174.96,213.01,0
czechia,1965,,,,0,2.2318,,,,
czechia,1966,,,,0,2.1036,,,,
czechia,1967,,,,0,1.8959,,,,
czechia,1968,,,,0,1.4672,,,,
czechia,1969,,,,0,1.1977,,,,
czechia,1970,,,,0,1.7103,,,,
czechia,1971,,,,0,1.208,,,,
czechia,1972,,,,0,1.264,,,,
czechia,1973,,,,0,1.081,,,,
czechia,1974,,,,0,1.819,,,,
czechia,1975,,,,0,1.814,,,,
czechia,1976,,,,0,1.446,,,,
czechia,1977,,,,0,1.967,,,,
czechia,1978,,,,0,1.83,,,,
czechia,1979,,,,0,2.293,,,,
czechia,1980,,,,0,2.399,,,,
czechia,1981,,,,0,2.061,,,,
czechia,1982,,,,0,1.67,,,,
czechia,1983,,,,0.2,1.655,,,,
czechia,1984,,,,1.239,1.298,,,,
czechia,1985,,,,2.397,1.671,,,,
czechia,1986,,,,6.149,1.876,,,,
czechia,1987,,,,10.701,2.465,,,,
czechia,1988,,,,11.816,2.099,,,,
czechia,1989,,,,12.418,1.643,,,,
czechia,1990,47.02,1.12,0.38,12.59,1.16,0,0,0,0
czechia,1991,45.6,1.1,0.38,12.13,1.09,0,0,0,0
czechia,1992,43.91,1.11,0.38,12.25,1.4,0,0,0,0
czechia,1993,43.27,0.84,0.4,12.63,1.37,0,0,0.16,0
czechia,1994,42.24,1.01,0.39,12.98,1.46,0,0,0.32,0
czechia,1995,44.34,1.12,0.48,12.23,2,0,0,0.41,0
czechia,1996,45.43,2.25,1.04,12.85,1.97,0,0,0.29,0
czechia,1997,45.73,2.65,1.15,12.49,1.7,0,0,0.49,0
czechia,1998,45.31,2.85,1.29,13.18,1.4,0,0,0.59,0
czechia,1999,44.15,2.57,1.73,13.36,1.68,0,0,0.68,0
czechia,2000,52.75,2.59,1.69,13.59,1.76,0,0,0.52,0
czechia,2001,52.59,2.73,1.58,14.75,2.05,,0,0.52,0
czechia,2002,49.91,2.75,1.61,18.74,2.49,0,0,0.5,0
czechia,2003,50.77,2.7,1.58,25.87,1.38,0,0,0.49,0
czechia,2004,50.31,2.87,1.54,26.33,2.02,0.01,0,0.71,0
czechia,2005,49.52,3.08,1.47,24.73,2.38,0.02,0,0.73,0
czechia,2006,49.65,2.87,1.57,26.05,2.55,0.05,0,0.92,0
